==Test: setup
==Test: fixture setup
==SubTest: DMM PP_BATT_VCC 1
			lower:-0.001; upper:0.001; value:-0.000230
2019-05-12 05:38:17.569192   PASS
==Test: fixture setup
==SubTest: current PP_VRECT
			lower:-5; upper:5; value:0.278168
2019-05-12 05:38:17.647715   PASS
==Test: fixture setup
==SubTest: SYSTEM_CURRENT 50
			lower:-0.02; upper:0.02; value:0.000070
2019-05-12 05:38:17.700149   PASS
==Test: station info
==SubTest: eepromread socket_sn
			lower:; upper:; value:X1454L_TT_FCT542627_P2
2019-05-12 05:38:17.766278   PASS
==Test: station info
==SubTest: eepromread socketboard_sn
			lower:; upper:; value:FN684421DMPKT721Z
2019-05-12 05:38:17.817758   PASS
==Test: station info
==SubTest: eepromread spring_cnt
			lower:; upper:; value:767
2019-05-12 05:38:17.850512   PASS
==Test: station info
==SubTest: eepromread pogo_cnt
			lower:; upper:; value:767
2019-05-12 05:38:17.878532   PASS
==Test: station info
==SubTest: eepromread film_cnt
			lower:; upper:; value:767
2019-05-12 05:38:17.905718   PASS
==Test: station info
==SubTest: eepromread solaris_sn
			lower:; upper:; value:FN6810610P0JF822F
2019-05-12 05:38:17.942634   PASS
==Test: station info
==SubTest: CALC 0
			lower:YES; upper:YES; value:YES
2019-05-12 05:38:17.959772   PASS
==Test: station info
==SubTest: eepromread solaris_first
			lower:; upper:; value:20180921 10:32:48
2019-05-12 05:38:17.985742   PASS
==Test: station info
==SubTest: eepromread solaris_recent
			lower:; upper:; value:20190512 05:38:15
2019-05-12 05:38:18.012716   PASS
==Test: station info
==SubTest: eepromread solaris_cnt
			lower:; upper:; value:810
2019-05-12 05:38:18.038363   PASS
==Test: station info
==SubTest: eepromread sodium_sn
			lower:; upper:; value:FN681130G28JT3C1K
2019-05-12 05:38:18.076431   PASS
==Test: station info
==SubTest: CALC 1
			lower:YES; upper:YES; value:YES
2019-05-12 05:38:18.086145   PASS
==Test: station info
==SubTest: eepromread sodium_first
			lower:; upper:; value:20180921 10:32:49
2019-05-12 05:38:18.102874   PASS
==Test: station info
==SubTest: eepromread sodium_recent
			lower:; upper:; value:20190512 05:38:15
2019-05-12 05:38:18.131292   PASS
==Test: station info
==SubTest: eepromread sodium_cnt
			lower:; upper:; value:810
2019-05-12 05:38:18.169413   PASS
==Test: debug nbb
==SubTest: SUPPLY_4.6V PP_CON_DET_EN_PIN
			lower:4.58; upper:4.63; value:4.598308
2019-05-12 05:38:18.332817   PASS
==Test: debug nbb
==SubTest: DMM PP_CON_DET_EN_PIN_RVP
			lower:4.56; upper:4.62; value:4.597050
2019-05-12 05:38:18.475955   PASS
==Test: debug nbb
==SubTest: DMM PP_VDD_MAIN 0
			lower:-0.1; upper:0.5; value:0.000747
2019-05-12 05:38:18.619961   PASS
==Test: debug nbb
==SubTest: DELAY_200ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:18.825904   PASS
==Test: debug nbb
==SubTest: DISCONNECT SPAM_RESET_L
			lower:; upper:; value:--PASS--
2019-05-12 05:38:18.851371   PASS
==Test: debug nbb
==SubTest: RELAY SPAM_POWER_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:18.883454   PASS
==Test: debug nbb
==SubTest: RELAY SPAM_RESET_L
			lower:; upper:; value:--PASS--
2019-05-12 05:38:18.918570   PASS
==Test: debug nbb
==SubTest: DELAY_1000ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:19.921637   PASS
==Test: debug nbb
==SubTest: DMM PP_CON_DET_EN_PIN_SW
			lower:4.25; upper:4.62; value:4.545103
2019-05-12 05:38:20.078096   PASS
==Test: debug nbb
==SubTest: DMM PP_VDD_MAIN 1
			lower:4.2; upper:4.62; value:4.491160
2019-05-12 05:38:20.229520   PASS
==Test: debug nbb junebug
==SubTest: DMM PP3V0_SLEEP2_LDO2
			lower:2.939; upper:3.02; value:2.996522
2019-05-12 05:38:20.403187   PASS
==Test: debug nbb junebug
==SubTest: DMM SYSTEM_TO_PMU_VBUS_DET_L
			lower:-0.1; upper:0.1; value:0.006907
2019-05-12 05:38:20.572200   PASS
==Test: debug nbb junebug
==SubTest: DELAY_2000ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:22.574935   PASS
==Test: debug nbb junebug
==SubTest: DMM DEBUG_TO_AOP_TESLA_DOCK_CONNECT
			lower:1.7; upper:1.85; value:1.783377
2019-05-12 05:38:22.724141   PASS
==Test: debug nbb junebug
==SubTest: DMM AP_VBUS_DET
			lower:2.9; upper:3.1; value:2.977431
2019-05-12 05:38:22.873541   PASS
==Test: debug nbb diags
==SubTest: DETECT_:-)
			lower:; upper:; value:--PASS--
2019-05-12 05:38:25.981954   PASS
==Test: debug nbb diags
==SubTest: DIAGS_thermalmonitor
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.007397   PASS
==Test: debug nbb diags
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.031471   PASS
==Test: debug nbb diags
==SubTest: current PP_CON_DET_EN_PIN
			lower:18; upper:100; value:56.504143
2019-05-12 05:38:26.106956   PASS
==Test: debug nbb diags
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.116839   PASS
==Test: debug swd
==SubTest: spamloopback 100
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.165471   PASS
==Test: debug nbb diags
==SubTest: DMM DEBUG_TO_AOP_TESLA_DOCK_CONNECT
			lower:1.7; upper:1.85; value:1.783534
2019-05-12 05:38:26.316591   PASS
==Test: debug nbb diags
==SubTest: DMM AP_VBUS_DET
			lower:2.9; upper:3.1; value:2.977424
2019-05-12 05:38:26.470300   PASS
==Test: debug nbb diags
==SubTest: DIAGS_socgpio
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.505581   PASS
==Test: debug nbb diags
==SubTest: DIAGS_pmuadc 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.548777   PASS
==Test: debug nbb diags
==SubTest: PARSE dnbb_pmu_gpio21
			lower:-50; upper:50; value:0.0000
2019-05-12 05:38:26.582267   PASS
==Test: debug nbb diags
==SubTest: DIAGS_pmuadc 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.621172   PASS
==Test: debug nbb diags
==SubTest: PARSE dnbb_pmu_gpio11
			lower:1700; upper:1850; value:1763.1257
2019-05-12 05:38:26.646477   PASS
==Test: debug nbb diags
==SubTest: DIAGS_pmugpio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.669656   PASS
==Test: debug nbb diags
==SubTest: DIAGS_tristar
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.692530   PASS
==Test: debug nbb diags
==SubTest: DIAGS_pmugpio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.716938   PASS
==Test: debug inh
==SubTest: SUPPLY_3.85V PP_BATT_VCC
			lower:3.84; upper:3.86; value:3.849898
2019-05-12 05:38:26.793119   PASS
==Test: debug inh
==SubTest: DIAGS_pmugpio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.831680   PASS
==Test: debug inh
==SubTest: DIAGS_pmuadc 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:26.857464   PASS
==Test: debug inh
==SubTest: PARSE dinh_nbb_pmu_gpio21
			lower:3700; upper:3900; value:3822.9548
2019-05-12 05:38:26.869857   PASS
==Test: debug inh
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:27.069092   PASS
==Test: debug inh
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:38:26:936
2019-05-12 05:38:27.171856   PASS
==Test: debug inh
==SubTest: DMM PP_CON_DET_EN_PIN_RVP
			lower:4.56; upper:4.62; value:4.598371
2019-05-12 05:38:27.329395   PASS
==Test: debug inh
==SubTest: DMM PP_CON_DET_EN_PIN_SW
			lower:-0.1; upper:0.1; value:0.000378
2019-05-12 05:38:27.473962   PASS
==Test: debug inh
==SubTest: DMM PP_VDD_MAIN
			lower:3.83; upper:3.87; value:3.849007
2019-05-12 05:38:27.624203   PASS
==Test: debug inh
==SubTest: DMM PP_BATT_VCC
			lower:3.83; upper:3.87; value:3.849896
2019-05-12 05:38:27.763405   PASS
==Test: debug inh
==SubTest: DMM PP3V0_SLEEP2_LDO2
			lower:2.939; upper:3.02; value:2.996610
2019-05-12 05:38:27.925259   PASS
==Test: debug inh
==SubTest: DMM DEBUG_TO_AOP_TESLA_DOCK_CONNECT
			lower:1.7; upper:1.85; value:1.783616
2019-05-12 05:38:28.083694   PASS
==Test: debug inh
==SubTest: DMM AP_VBUS_DET
			lower:2.9; upper:3.1; value:2.977510
2019-05-12 05:38:28.262967   PASS
==Test: debug inh
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:38:28:236
2019-05-12 05:38:28.485891   PASS
==Test: debug inh
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:28.526316   PASS
==Test: debug inh
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:63.3233
2019-05-12 05:38:28.556779   PASS
==Test: debug inh
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:68.2664
2019-05-12 05:38:28.579312   PASS
==Test: debug inh
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:65.0699
2019-05-12 05:38:28.596968   PASS
==Test: debug inh
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:65.0731
2019-05-12 05:38:28.618105   PASS
==Test: debug inh
==SubTest: DIAGS_pmugpio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:28.632139   PASS
==Test: debug inh
==SubTest: DIAGS_pmuadc 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:28.662978   PASS
==Test: debug inh
==SubTest: PARSE dinh_nbb_pmu_gpio21_off
			lower:-50; upper:50; value:0.0000
2019-05-12 05:38:28.685568   PASS
==Test: debug switch
==SubTest: SUPPLY_4.2V PP_CON_DET_EN_PIN
			lower:4.18; upper:4.22; value:4.198845
2019-05-12 05:38:28.733236   PASS
==Test: debug switch
==SubTest: DELAY_10ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:28.741302   PASS
==Test: debug switch
==SubTest: DMM PP_CON_DET_EN_PIN_RVP
			lower:4.10; upper:4.22; value:4.188731
2019-05-12 05:38:28.893150   PASS
==Test: debug switch
==SubTest: DMM PP_CON_DET_EN_PIN_SW
			lower:4.10; upper:4.22; value:4.185451
2019-05-12 05:38:29.051281   PASS
==Test: debug switch
==SubTest: DMM PP_VDD_MAIN
			lower:4.00; upper:4.22; value:4.124807
2019-05-12 05:38:29.190403   PASS
==Test: debug switch
==SubTest: DMM SYSTEM_TO_PMU_VBUS_DET_L
			lower:-0.1; upper:0.1; value:0.006517
2019-05-12 05:38:29.331153   PASS
==Test: debug switch
==SubTest: DMM AP_VBUS_DET
			lower:2.9; upper:3.1; value:2.977461
2019-05-12 05:38:29.475279   PASS
==Test: debug ovp
==SubTest: supply_only PP_CON_DET_EN_PIN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:29.495278   PASS
==Test: debug ovp
==SubTest: DELAY_50ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:29.547787   PASS
==Test: debug ovp
==SubTest: current PP_CON_DET_EN_PIN
			lower:-1; upper:3.5; value:0.684108
2019-05-12 05:38:29.631422   PASS
==Test: debug ovp
==SubTest: DMM SYSTEM_TO_PMU_VBUS_DET_L
			lower:3.8; upper:3.9; value:3.845122
2019-05-12 05:38:29.793692   PASS
==Test: debug ovp
==SubTest: DMM PP_CON_DET_EN_PIN_SW
			lower:-0.1; upper:0.1; value:0.000377
2019-05-12 05:38:29.961636   PASS
==Test: debug ovp
==SubTest: DMM PP_VDD_MAIN 0
			lower:3.83; upper:3.87; value:3.849032
2019-05-12 05:38:30.113221   PASS
==Test: debug ovp
==SubTest: DMM PP3V0_SLEEP2_LDO2
			lower:2.939; upper:3.061; value:2.996594
2019-05-12 05:38:30.265581   PASS
==Test: debug ovp
==SubTest: DMM DEBUG_TO_AOP_TESLA_DOCK_CONNECT
			lower:1.7; upper:1.9; value:1.783670
2019-05-12 05:38:30.424023   PASS
==Test: debug ovp
==SubTest: DMM AP_VBUS_DET
			lower:2.9; upper:3.1; value:2.977506
2019-05-12 05:38:30.569441   PASS
==Test: debug ovp
==SubTest: DISCONNECT SPAM_POWER_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:30.602474   PASS
==Test: debug ovp
==SubTest: DISCONNECT SPAM_RESET_L
			lower:; upper:; value:--PASS--
2019-05-12 05:38:30.633961   PASS
==Test: debug ovp
==SubTest: SUPPLY_0V PP_CON_DET_EN_PIN
			lower:-0.5; upper:0.5; value:-0.000243
2019-05-12 05:38:30.812369   PASS
==Test: debug ovp
==SubTest: DISCONNECT PP_CON_DET_EN_PIN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:30.822921   PASS
==Test: debug ovp
==SubTest: DMM PP_VDD_MAIN 1
			lower:3.83; upper:3.87; value:3.849096
2019-05-12 05:38:30.965296   PASS
==Test: debug power 0v0
==SubTest: SUPPLY_0V PP_CON_DET_EN_PIN
			lower:-0.5; upper:0.5; value:-0.000312
2019-05-12 05:38:31.130756   PASS
==Test: debug power 0v0
==SubTest: current PP_CON_DET_EN_PIN
			lower:-1; upper:3; value:0.265365
2019-05-12 05:38:31.211478   PASS
==Test: debug power 0v0
==SubTest: DMM SYSTEM_TO_PMU_VBUS_DET_L
			lower:3.8; upper:3.9; value:3.845151
2019-05-12 05:38:31.355136   PASS
==Test: debug power 0v0
==SubTest: DMM DEBUG_TO_AOP_TESLA_DOCK_CONNECT
			lower:-0.1; upper:0.1; value:0.000331
2019-05-12 05:38:31.518020   PASS
==Test: debug power 0v0
==SubTest: DMM AP_VBUS_DET
			lower:-0.1; upper:0.1; value:0.000270
2019-05-12 05:38:31.653666   PASS
==Test: debug power 0v0
==SubTest: DIAGS_socgpio
			lower:; upper:; value:--PASS--
2019-05-12 05:38:31.672710   PASS
==Test: debug power 0v0
==SubTest: DMM PP_CON_DET_EN_PIN_RVP
			lower:-0.1; upper:0.1; value:0.005817
2019-05-12 05:38:31.830536   PASS
==Test: debug power 0v0
==SubTest: DMM PP_CON_DET_EN_PIN_SW
			lower:-0.1; upper:0.1; value:0.000273
2019-05-12 05:38:31.984552   PASS
==Test: debug power 0v0
==SubTest: DMM PP_VDD_MAIN
			lower:3.83; upper:3.87; value:3.849046
2019-05-12 05:38:32.124559   PASS
==Test: debug power 1v1
==SubTest: SUPPLY_1.1V PP_CON_DET_EN_PIN
			lower:1.08; upper:1.12; value:1.099378
2019-05-12 05:38:32.291183   PASS
==Test: debug power 1v1
==SubTest: current PP_CON_DET_EN_PIN
			lower:-1; upper:3; value:0.280485
2019-05-12 05:38:32.370744   PASS
==Test: debug power 1v1
==SubTest: DELAY_100ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:32.673670   PASS
==Test: debug power 1v1
==SubTest: DMM SYSTEM_TO_PMU_VBUS_DET_L
			lower:3.8; upper:3.9; value:3.845034
2019-05-12 05:38:32.695781   PASS
==Test: debug power 1v1
==SubTest: DMM DEBUG_TO_AOP_TESLA_DOCK_CONNECT
			lower:1.7; upper:1.9; value:1.783718
2019-05-12 05:38:32.771602   PASS
==Test: debug power 1v1
==SubTest: DMM AP_VBUS_DET
			lower:2.9; upper:3.1; value:2.975248
2019-05-12 05:38:32.920573   PASS
==Test: debug power 1v1
==SubTest: DIAGS_socgpio
			lower:; upper:; value:--PASS--
2019-05-12 05:38:32.938130   PASS
==Test: debug power 1v1
==SubTest: DMM PP_CON_DET_EN_PIN_RVP
			lower:1000; upper:1200; value:1099.360591
2019-05-12 05:38:33.097033   PASS
==Test: debug power 1v1
==SubTest: DMM PP_CON_DET_EN_PIN_SW
			lower:-0.1; upper:0.1; value:0.000329
2019-05-12 05:38:33.235095   PASS
==Test: debug power 1v1
==SubTest: DMM PP_VDD_MAIN
			lower:3.83; upper:3.87; value:3.848998
2019-05-12 05:38:33.382416   PASS
==Test: debug power 1v1
==SubTest: SUPPLY_0V PP_CON_DET_EN_PIN
			lower:-0.5; upper:0.5; value:-0.000304
2019-05-12 05:38:33.550664   PASS
==Test: debug power 1v1
==SubTest: DISCONNECT PP_CON_DET_EN_PIN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:33.565370   PASS
==Test: solntc
==SubTest: LOOPBACK Y1 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:33.657599   PASS
==Test: solntc
==SubTest: DIAGS_temperature 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:33.770730   PASS
==Test: solntc
==SubTest: PARSE solaris_ntc1
			lower:15; upper:45; value:30.32
2019-05-12 05:38:33.779287   PASS
==Test: solntc
==SubTest: LOOPBACK Y1 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:33.843253   PASS
==Test: solntc
==SubTest: LOOPBACK Y1 2
			lower:; upper:; value:--PASS--
2019-05-12 05:38:33.937427   PASS
==Test: solntc
==SubTest: DIAGS_temperature 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:34.043240   PASS
==Test: solntc
==SubTest: PARSE solaris_ntc2
			lower:15; upper:45; value:28.11
2019-05-12 05:38:34.051294   PASS
==Test: solntc
==SubTest: LOOPBACK Y1 3
			lower:; upper:; value:--PASS--
2019-05-12 05:38:34.107147   PASS
==Test: solntc
==SubTest: LOOPBACK Y1 4
			lower:; upper:; value:--PASS--
2019-05-12 05:38:34.206623   PASS
==Test: solntc
==SubTest: DIAGS_temperature 2
			lower:; upper:; value:--PASS--
2019-05-12 05:38:34.307496   PASS
==Test: solntc
==SubTest: PARSE solaris_ntc3
			lower:15; upper:45; value:28.80
2019-05-12 05:38:34.311744   PASS
==Test: solntc
==SubTest: LOOPBACK Y1 5
			lower:; upper:; value:--PASS--
2019-05-12 05:38:34.375577   PASS
==Test: pmu hr
==SubTest: SUPPLY_4.6V PP_CON_DET_EN_PIN
			lower:4.58; upper:4.62; value:4.598107
2019-05-12 05:38:34.535107   PASS
==Test: pmu hr
==SubTest: DELAY_100ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:34.637835   PASS
==Test: pmu hr
==SubTest: RELAY SPAM_POWER_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:34.664631   PASS
==Test: pmu hr
==SubTest: RELAY SPAM_RESET_L
			lower:; upper:; value:--PASS--
2019-05-12 05:38:34.697914   PASS
==Test: pmu hr
==SubTest: DELAY_1000ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:35.700762   PASS
==Test: pmu hr
==SubTest: pmutbat 25
			lower:22.5; upper:27.5; value:25.000000
2019-05-12 05:38:35.848285   PASS
==Test: pmu hr
==SubTest: DIGIPOT PMU_TBAT
			lower:; upper:; value:--PASS--
2019-05-12 05:38:35.947386   PASS
==Test: pmu hr
==SubTest: DELAY_300ms
			lower:; upper:; value:--PASS--
2019-05-12 05:38:36.253629   PASS
==Test: pmu hr
==SubTest: DMM PP_VDD_MAIN
			lower:4; upper:4.6; value:4.487742
2019-05-12 05:38:36.412171   PASS
==Test: pmu hr
==SubTest: DMM PP_BATT_VCC
			lower:3.77; upper:3.9; value:3.850134
2019-05-12 05:38:36.568609   PASS
==Test: pmu hr
==SubTest: DIAGS_pmuadc 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:36.605067   PASS
==Test: pmu hr
==SubTest: PARSE pmu_hr_vddmain_efi
			lower:4000; upper:4700; value:4491.7582
2019-05-12 05:38:36.620816   PASS
==Test: pmu hr
==SubTest: DIAGS_pmuadc 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:36.638933   PASS
==Test: pmu hr
==SubTest: PARSE pmu_hr_batt_vcc_efi
			lower:3770; upper:3930; value:3850.7326
2019-05-12 05:38:36.649819   PASS
==Test: pmu hr
==SubTest: DIAGS_pmuadc 2
			lower:; upper:; value:--PASS--
2019-05-12 05:38:36.660076   PASS
==Test: pmu hr
==SubTest: PARSE pmu_hr_chg_hr_efi
			lower:250; upper:750; value:623.4188
2019-05-12 05:38:36.667184   PASS
==Test: pmu hr
==SubTest: CALC pmu_hr_chg_hr_fixture
			lower:0.25; upper:0.75; value:0.637608
2019-05-12 05:38:36.672475   PASS
==Test: pmu hr
==SubTest: CALC pmu_hr_chg_hr_error
			lower:-50; upper:50; value:-14.1892
2019-05-12 05:38:36.674763   PASS
==Test: pmu hr
==SubTest: DIGIPOT DISCONNECT
			lower:; upper:; value:--PASS--
2019-05-12 05:38:36.750030   PASS
==Test: pmu hr
==SubTest: DISCONNECT SPAM_POWER_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:38:36.780086   PASS
==Test: pmu hr
==SubTest: DISCONNECT SPAM_RESET_L
			lower:; upper:; value:--PASS--
2019-05-12 05:38:36.809780   PASS
==Test: pmu hr
==SubTest: SUPPLY_0V PP_CON_DET_EN_PIN
			lower:-0.02; upper:0.02; value:-0.000305
2019-05-12 05:38:36.962195   PASS
==Test: tcxocal check
==SubTest: FREQ tcxo_check
			lower:32767.83; upper:32768.17; value:32767.984678
2019-05-12 05:38:37.506200   PASS
==Test: tcxocal check
==SubTest: CALC tcxo_check_ppm
			lower:-5; upper:5; value:-0.46759033200949
2019-05-12 05:38:39.529307   PASS
==Test: tcxocal check
==SubTest: DIAGS_syscfg
			lower:; upper:; value:--PASS--
2019-05-12 05:38:39.540496   PASS
==Test: tcxocal check
==SubTest: PARSE TCOC_syscfg_key
			lower:; upper:; value:[0;31mNot Found![m
2019-05-12 05:38:39.551054   PASS
==Test: tcxocal check
==SubTest: CALC previous_TCXO_failure
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:38:39.561908   PASS
==Test: tcxocal check
==SubTest: CALC need_tcxo_cal
			lower:; upper:; value:YES
2019-05-12 05:38:39.572742   PASS
==Test: tristar hammer
==SubTest: DIAGS_tristar
			lower:; upper:; value:--PASS--
2019-05-12 05:38:39.583269   PASS
==Test: tristar hammer
==SubTest: DIAGS_pmugpio
			lower:; upper:; value:--PASS--
2019-05-12 05:38:39.593490   PASS
==Test: nvram hammer
==SubTest: DIAGS_nvram 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:41.608612   PASS
==Test: nvram hammer
==SubTest: DIAGS_nvram 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:43.629407   PASS
==Test: boot syscfg
==SubTest: rtc get
			lower:; upper:; value:1970110018
2019-05-12 05:38:43.692555   PASS
==Test: boot syscfg
==SubTest: rtc set
			lower:; upper:; value:--PASS--
2019-05-12 05:38:43.746890   PASS
==Test: boot syscfg
==SubTest: DIAGS_cbinit
			lower:; upper:; value:--PASS--
2019-05-12 05:38:45.789443   PASS
==Test: boot syscfg
==SubTest: DIAGS_syscfg 0
			lower:; upper:; value:--PASS--
2019-05-12 05:38:47.815186   PASS
==Test: boot syscfg
==SubTest: DIAGS_syscfg 1
			lower:; upper:; value:--PASS--
2019-05-12 05:38:47.830456   PASS
==Test: boot syscfg
==SubTest: PARSE <<mlbsn>>
			lower:; upper:; value:FN69193066LKTY25N
2019-05-12 05:38:51.877434   PASS
==Test: boot syscfg
==SubTest: PARSE mlbsn_verify
			lower:; upper:; value:FN69193066LKTY25N
2019-05-12 05:38:51.892663   PASS
==Test: boot syscfg
==SubTest: PARSE cfg_verify
			lower:; upper:; value:BT69
2019-05-12 05:38:51.908950   PASS
==Test: boot syscfg
==SubTest: PARSE config_build
			lower:; upper:; value:DVT
2019-05-12 05:38:51.928804   PASS
==Test: boot syscfg
==SubTest: PARSE syscfg_prd
			lower:; upper:; value:X1454B
2019-05-12 05:38:51.947507   PASS
==Test: board info
==SubTest: DIAGS_version
			lower:; upper:; value:--PASS--
2019-05-12 05:38:51.967101   PASS
==Test: board info
==SubTest: PARSE diags_version
			lower:; upper:; value:5J231a
2019-05-12 05:38:51.987277   PASS
==Test: board info
==SubTest: PARSE build_train
			lower:; upper:; value:System: Size = 0x772389000, Free = 0x61FE91000, APFS v1
2019-05-12 05:38:52.005807   PASS
==Test: board info
==SubTest: PARSE board_rev
			lower:; upper:; value:0x0A
2019-05-12 05:38:52.024832   PASS
==Test: board info
==SubTest: PARSE boardid
			lower:; upper:; value:0x12
2019-05-12 05:38:52.045984   PASS
==Test: board info
==SubTest: PARSE chipid
			lower:; upper:; value:8006
2019-05-12 05:38:52.062853   PASS
==Test: board info
==SubTest: PARSE dieid
			lower:; upper:; value:00000111:1180012E
2019-05-12 05:38:52.077231   PASS
==Test: board info
==SubTest: PARSE fuseid
			lower:; upper:; value:A55AC33C:A050C030
2019-05-12 05:38:52.092131   PASS
==Test: board info
==SubTest: PARSE ecid
			lower:; upper:; value:0x001E71111180012E
2019-05-12 05:38:52.109580   PASS
==Test: board info
==SubTest: PARSE raw_ecid
			lower:; upper:; value:001E7111:1180012E
2019-05-12 05:38:52.128907   PASS
==Test: board info
==SubTest: CALC boardid
			lower:; upper:; value:0x12
2019-05-12 05:38:52.152520   PASS
==Test: board info
==SubTest: CALC board_size
			lower:; upper:; value:BIG
2019-05-12 05:38:52.170927   PASS
==Test: board info
==SubTest: CALC boardid_rev
			lower:; upper:; value:0x12_0xA
2019-05-12 05:38:52.187238   PASS
==Test: board info
==SubTest: CALC product
			lower:; upper:; value:X1454
2019-05-12 05:38:52.200387   PASS
==Test: board info
==SubTest: CALC product_size
			lower:; upper:; value:X1454_BIG
2019-05-12 05:38:52.216968   PASS
